#,Building,Images,Height,Floors,Building type,Year,Status
375,Bluemle Life Sciences Building,4,153 ft,12,high-rise building,1991,
376,1600 Walnut Street,2,,12,high-rise building,1922,
377,1520 Locust Street,2,,12,high-rise building,1926,
378,1401 Walnut Street,1,,12,high-rise building,1911,
379,1700 Walnut Street,1,,12,high-rise building,1925,
380,Wilson Park Homes IV,,153 ft,12,high-rise building,1954,
381,Wilson Park Homes III,,153 ft,12,high-rise building,1954,
382,Wilson Park Homes II,,153 ft,12,high-rise building,1954,
383,Wilson Park Homes I,,153 ft,12,high-rise building,1954,
384,Midtown Apartments,3,153 ft,12,high-rise building,-,
385,Jefferson House,,153 ft,12,high-rise building,1953,
386,Adams House,,153 ft,12,high-rise building,1953,
387,Madison House,,153 ft,12,high-rise building,1953,
388,1411 Walnut Apartments,2,,12,high-rise building,1912,
389,Hospital of the University of Pennsylvania,,153 ft,12,high-rise building,-,
390,Stellar-Chance Laboratories,,153 ft,12,high-rise building,1994,
391,Anderson Hall,2,153 ft,12,high-rise building,-,
392,The Continental Building,2,153 ft,12,high-rise building,1972,
393,JFK Community Mental Health Center,,,12,high-rise building,1896,
394,The Pavilion Apartments,,153 ft,12,high-rise building,-,
395,Overmont House Apartments,1,153 ft,12,high-rise building,-,
