#,Building,Images,Height,Floors,Building type,Year,Status
313,Hoge Building,13,,17,high-rise building,1911,
314,Jefferson Terrace,11,206 ft,17,high-rise building,1967,
315,"Hotel Deca, The Edmond Meany Hotel",,194 ft,16,high-rise building,1931,
316,Kelleher House,5,194 ft,16,high-rise building,1982,
317,Elektra,3,194 ft,16,high-rise building,1949,
318,Arte @ 2200,,182 ft,15,high-rise building,2006,
319,Nettleton Apartments South Tower,4,182 ft,15,high-rise building,1950,
320,1411 Fourth Avenue,1,,15,high-rise building,1929,
321,Chancery Place Apartments,,182 ft,15,high-rise building,1982,
322,Ninth and Jefferson Medical Tower,1,,15,high-rise building,2008,
323,UW Medical Center,,182 ft,15,high-rise building,1959,
324,Nettleton Apartments North Tower,,,14,high-rise building,1950,
325,Dexter Horton Building,14,,14,high-rise building,1924,
326,The Josephinum,11,170 ft,14,high-rise building,1908,
327,Virginia Mason Hospital,,170 ft,14,high-rise building,1960,
328,Swedish Medical Center Southeast Tower,7,170 ft,14,high-rise building,1996,
329,Olive Tower Apartments,8,,14,high-rise building,1928,
330,Market Place North,3,170 ft,14,high-rise building,1982,
331,The Gainsborough,10,170 ft,14,high-rise building,1930,
332,Security House,7,170 ft,14,high-rise building,1972,
333,Abraham Lincoln Building,10,170 ft,14,high-rise building,1972,
334,Joseph Vance Building,3,,14,high-rise building,1929,
335,Gallery,,158 ft,13,high-rise building,2008,
336,The Concord I,6,158 ft,13,high-rise building,2001,
337,South Arcade Condominiums,,158 ft,13,high-rise building,1985,
338,The Decatur,2,158 ft,13,high-rise building,1940,
339,Marlborough House,6,,13,high-rise building,1927,
340,The Concord II,10,158 ft,13,high-rise building,2001,
341,VA Puget Sound Hospital,,158 ft,13,high-rise building,1985,
342,Summit at First Hill,,158 ft,13,high-rise building,2001,
343,Waterfront Place,,158 ft,13,high-rise building,1984,
344,Bay View Tower,11,158 ft,13,high-rise building,1979,
345,Urban Union,,146 ft,12,high-rise building,2016,
346,Mirabella,4,146 ft,12,high-rise building,2008,
347,Azur @ 2200,,146 ft,12,high-rise building,2006,
348,Seattle Art Museum,,146 ft,12,high-rise building,2007,
349,Avenue One,7,146 ft,12,high-rise building,2004,
350,The Paramount Seattle,1,146 ft,12,high-rise building,1996,
351,Ross Manor,1,146 ft,12,high-rise building,1983,
352,Seattle Federal Office Building,6,146 ft,12,high-rise building,1933,
353,1223 Spring Street,8,,12,high-rise building,1929,
354,The Shannon,,146 ft,12,high-rise building,1970,
355,Council House Retirement Home,,146 ft,12,high-rise building,-,
356,Lindeman Pavilion,,146 ft,12,high-rise building,1974,
357,The Vine North,10,146 ft,12,high-rise building,2002,
358,Hotel Monaco,9,146 ft,12,high-rise building,1960,
359,Campion Hall,12,146 ft,12,high-rise building,1964,
360,International Terrace,,146 ft,12,high-rise building,1973,
361,The Butler Building,8,,12,open-air structure,2001,
362,Campion Tower,,146 ft,12,high-rise building,1965,
363,Denny Building,4,146 ft,12,high-rise building,1967,
364,Qwest Building,4,146 ft,12,high-rise building,1985,
365,First & Stewart Building,6,146 ft,12,high-rise building,1987,
