#,Building,Images,Height,Floors,Building type,Year,Status
"2,315",Normar Apartments,1,147 ft,16,high-rise building,1963,
"2,316",1700 Grand Concourse,,147 ft,16,high-rise building,1962,
"2,317",Fordham Hill I,,147 ft,16,high-rise building,1949,
"2,318",River Terrace Apartments,,147 ft,16,high-rise building,1963,
"2,319",Savoy Park I,,147 ft,16,high-rise building,1957,
"2,320",Jacobi Medical Center Nurses&#039; Residences,,147 ft,14,high-rise building,1962,
"2,321",Sochi on Banner,,147 ft,12,high-rise building,2009,
"2,322",Central Park Mews Apartments,,147 ft,12,high-rise building,1893,
"2,323",Albert Hotel Addition,1,147 ft,12,high-rise building,1905,
"2,324",198 East 161st Street,1,147 ft,10,high-rise building,1994,
"2,325",Packard Square,,147 ft,15,high-rise building,2008,
"2,326",347 Bowery,6,147 ft,13,high-rise building,2017,
"2,327",512 West 22nd Street,1,147 ft,11,high-rise building,-,
"2,328",Grace Fu Ho Tower,1,147 ft,10,high-rise building,2007,
"2,329",The Atrium East,3,147 ft,16,high-rise building,1992,
"2,330",The Seymour,1,146 ft,12,high-rise building,2016,
"2,331",Clayton Apartments,1,146 ft,17,high-rise building,1963,
"2,332",Weill Cornell Medical College Residences,5,146 ft,16,high-rise building,2003,
"2,333",Memorial Sloan-Kettering Hospital Residences,5,146 ft,16,high-rise building,2003,
"2,334",Twin Parks West 1 & 2,,146 ft,16,high-rise building,1974,
"2,335",River Terrace,,146 ft,16,high-rise building,1963,
"2,336",Brighton Towers B,,146 ft,16,high-rise building,1962,
"2,337",Brighton Towers A,,146 ft,16,high-rise building,1962,
"2,338",Fordham Hill IX,,146 ft,16,high-rise building,1949,
"2,339",Fordham Hill VIII,,146 ft,16,high-rise building,1949,
"2,340",Fordham Hill III,,146 ft,16,high-rise building,1949,
"2,341",Fordham Hill II,,146 ft,16,high-rise building,1949,
"2,342",University Gardens,,146 ft,16,high-rise building,1968,
"2,343",Park 23,11,146 ft,16,high-rise building,1982,
"2,344",Savoy Park VII,,146 ft,16,high-rise building,1957,
"2,345",Savoy Park VI,,146 ft,16,high-rise building,1957,
"2,346",Savoy Park V,,146 ft,16,high-rise building,1957,
"2,347",Savoy Park IV,,146 ft,16,high-rise building,1957,
"2,348",Savoy Park III,,146 ft,16,high-rise building,1957,
"2,349",Savoy Park II,,146 ft,16,high-rise building,1957,
"2,350",Roger Morris Apartments,,146 ft,15,high-rise building,1916,
"2,351",The Continental,1,146 ft,14,high-rise building,1963,
"2,352",1 East 10th Street,,146 ft,14,high-rise building,1922,
"2,353",Kiely Hall,1,146 ft,14,high-rise building,1968,
"2,354",Chautauqua Apartments,,146 ft,12,high-rise building,1912,
"2,355",The Admaston,,146 ft,12,high-rise building,1911,
"2,356",644 Riverside Drive,,146 ft,12,high-rise building,1914,
"2,357",640 Riverside Drive,,146 ft,12,high-rise building,1914,
"2,358",50 Columbia Heights,2,146 ft,12,high-rise building,1929,
"2,359",Jacobi Medical Center Main Building,,146 ft,12,high-rise building,1953,
"2,360",Fur Center Building,1,146 ft,12,high-rise building,1924,
"2,361",One Kenmare Square,11,146 ft,11,high-rise building,2005,
"2,362",Furman Hall,,146 ft,10,high-rise building,2004,
"2,363",20 Jay Street,1,146 ft,10,high-rise building,1911,
"2,364",190 South 1st Street,,146 ft,13,high-rise building,2018,
"2,365",25 Great Jones Street,,146 ft,11,high-rise building,1900,
"2,366",50 Pine Street,4,146 ft,12,high-rise building,1902,
"2,367",American Red Cross Chapter House,3,146 ft,12,high-rise building,1929,
"2,368",Seth Low Houses IV,,145 ft,17,high-rise building,1967,
"2,369",Seth Low Houses II,,145 ft,17,high-rise building,1967,
"2,370",Seth Low Houses I,,145 ft,17,high-rise building,1967,
"2,371",The Shinnecock Condominium,10,145 ft,16,high-rise building,2003,
"2,372",Carlyle Towers Two,,145 ft,16,high-rise building,1963,
"2,373",Carlyle Towers One,1,145 ft,16,high-rise building,1963,
"2,374",Fordham Hill IV,,145 ft,16,high-rise building,1949,
"2,375",Colden Towers,1,145 ft,15,high-rise building,1963,
"2,376",Carlyle Towers Three,2,145 ft,15,high-rise building,1963,
"2,377",Carlyle Towers Co-op B,3,145 ft,15,high-rise building,1962,
"2,378",The Sycamore,10,145 ft,14,high-rise building,2003,
"2,379",Hudson Park,2,145 ft,14,high-rise building,2003,
